Year,Month,Day,Country,State,City,Latitude,Longitude,Specificity,Success,Attack,Target,Terrorist,Weapon,Killed,Wound,Property,Property Value,Ransom,Ransom Demand
1989,3,4,India,Punjab,Ludhiana District,30.900965,75.857276,3,1,Assassination,Private Citizens & Property,Sikh Extremists,Firearms,2,0,0,,0,
1989,3,4,India,West Bengal,Sonada,26.960787,88.273601,1,1,Armed Assault,Police,Gurkha National Liberation Front (GNLF),Firearms,0,0,1,,0,
1989,3,4,India,Punjab,Faridkot District,30.672393,74.755048,3,1,Armed Assault,Police,Sikh Extremists,Firearms,4,0,1,,0,
1989,3,4,India,Punjab,Jalandhar District,31.326015,75.576183,3,1,Armed Assault,Private Citizens & Property,Sikh Extremists,Firearms,2,0,1,,0,
1989,3,5,India,Punjab,Jhabal Mannan,31.503363,74.80977,2,1,Assassination,Educational Institution,Sikh Extremists,Firearms,1,0,0,,0,
1989,3,5,India,Assam,Unknown,26.200605,92.937574,4,0,Bombing/Explosion,Transportation,Bodo Militants,Explosives,0,0,1,,0,
1989,3,5,India,Assam,Udalguri,26.746018,92.095943,1,0,Bombing/Explosion,Transportation,Bodo Militants,Explosives,0,0,1,,0,
1989,3,5,India,Haryana,Guga Pir,29.757778,77.0625,2,1,Armed Assault,Private Citizens & Property,Sikh Extremists,Firearms,2,1,1,,0,
1989,3,8,India,Punjab,Phagwara,31.22402,75.770801,1,1,Assassination,Government (General),Sikh Extremists,Firearms,1,0,0,,0,
1989,3,14,India,Assam,Bongaigaon,26.48,90.56,1,1,Bombing/Explosion,Private Citizens & Property,Bodo Militants,Explosives,17,50,1,,0,
1989,3,14,India,Assam,Bongaigaon,26.48,90.56,1,1,Bombing/Explosion,Business,Bodo Militants,Explosives,0,0,1,,0,
1989,3,14,India,Assam,Kokrajhar,26.401436,90.266699,1,1,Armed Assault,Transportation,Bodo Militants,Firearms,0,1,1,,0,
1989,3,16,India,Unknown,Esuwagaon,,,5,1,Bombing/Explosion,Police,Bodo Militants,Explosives,0,7,1,,0,
1989,3,16,India,Assam,Kokrajhar District,26.401436,90.266699,3,1,Armed Assault,Police,Bodo Militants,Firearms,1,7,1,,0,
1989,3,17,India,Jammu and Kashmir,Srinagar,34.08374,74.789902,1,1,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives,0,7,1,,0,
1989,3,17,India,Assam,Tinsukia,27.489464,95.360144,1,1,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives,3,0,1,,0,
1989,3,18,India,Maharashtra,Lakhni,21.066944,79.830278,1,1,Assassination,Private Citizens & Property,Unknown,Firearms,2,0,0,,0,
1989,3,18,India,Punjab,Gurdaspur district,32.040763,75.401886,3,1,Assassination,Business,Unknown,Firearms,1,0,0,,0,
1989,3,19,India,Punjab,Sangrur District,30.245796,75.842072,3,1,Assassination,Private Citizens & Property,Sikh Extremists,Firearms,1,0,0,,0,
1989,3,19,India,Orissa,Lakhana,20.730938,82.663872,1,1,Assassination,Private Citizens & Property,Sikh Extremists,Firearms,2,1,0,,0,
1989,3,19,India,Punjab,Dhilwan,31.513953,75.345144,1,1,Assassination,Government (General),Khalistan Commando Force,Incendiary,1,0,1,,0,
1989,3,19,India,Assam,Udalguri,26.746018,92.095943,1,1,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives,11,0,1,,0,
1989,3,19,India,Punjab,Amritsar,31.633078,74.878288,1,1,Bombing/Explosion,Educational Institution,Khalistan Commando Force,Explosives,0,0,1,,0,
1989,3,19,India,Punjab,Amritsar,31.633078,74.878288,1,1,Armed Assault,Police,Sikh Extremists,Firearms,2,0,1,,0,
1989,3,19,India,Punjab,Madoke,30.756944,75.324444,1,1,Armed Assault,Police,Sikh Extremists,Firearms,2,0,1,,0,
1989,3,19,India,Punjab,Unknown,31.147131,75.341218,4,1,Armed Assault,Police,Sikh Extremists,Firearms,1,0,1,,0,
1989,3,21,India,Jammu and Kashmir,Srinagar,34.08374,74.789902,1,1,Bombing/Explosion,Police,Unknown,Explosives,0,9,1,,0,
1989,3,21,India,Punjab,Amritsar,31.633078,74.878288,1,1,Armed Assault,Police,Sikh Extremists,Firearms,3,0,1,,0,
1989,3,23,India,Punjab,Dhariwal Kalan,31.892665,75.363004,1,1,Assassination,Private Citizens & Property,Sikh Extremists,Firearms,2,0,0,,0,
1989,3,25,India,Punjab,amritsar,31.633078,74.878288,1,1,Bombing/Explosion,Private Citizens & Property,Babbar Khalsa International (BKI),Explosives,1,21,1,,0,
1989,3,25,India,Punjab,Hoshiapur District,31.534899,75.910571,3,1,Armed Assault,Police,Sikh Extremists,Firearms,3,0,1,,0,
1989,3,30,India,Unknown,Brahma Attari,,,5,1,Assassination,Private Citizens & Property,Unknown,Firearms,3,0,0,,0,
1989,3,30,India,Punjab,Ludhiana District,30.900965,75.857276,3,1,Assassination,Private Citizens & Property,Unknown,Firearms,2,0,0,,0,
1989,3,30,India,Haryana,Unknown,29.058776,76.085601,4,1,Armed Assault,Police,Unknown,Firearms,1,3,1,,0,
1989,4,3,India,Punjab,Jalandhar district,31.326015,75.576183,3,1,Assassination,Private Citizens & Property,Unknown,Unknown,4,0,0,,0,
1989,4,3,India,Punjab,Ludhiana,30.898024,75.860077,1,0,Assassination,Business,Unknown,Firearms,0,1,0,,0,
1989,4,7,India,Maharashtra,Jambhal,21.291667,77.401111,1,1,Armed Assault,Police,Unknown,Firearms,2,3,1,,0,
1989,4,7,India,Jammu and Kashmir,Srinagar,34.08374,74.789902,1,1,Armed Assault,Police,Unknown,Firearms,2,,1,,0,
1989,4,7,India,Jammu and Kashmir,Srinagar,34.08374,74.789902,1,1,Armed Assault,Police,Unknown,Firearms,2,,1,,0,
1989,4,14,India,Jammu and Kashmir,Srinagar,34.08374,74.789902,1,1,Bombing/Explosion,Government (General),Unknown,Explosives,0,0,1,,0,
1989,4,14,India,Jammu and Kashmir,srinagar,34.08374,74.789902,1,1,Bombing/Explosion,Government (General),Unknown,Explosives,0,0,1,,0,
1989,4,16,India,Bihar,Unknown,25.096074,85.313119,4,1,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives,1,0,1,,0,
1989,4,16,India,Jammu and Kashmir,uri,34.088117,74.033985,1,1,Bombing/Explosion,Military,Muslim Militants,Explosives,3,0,1,,0,
1989,4,19,India,Punjab,Tarn Taran,31.448943,74.925262,1,1,Assassination,Private Citizens & Property,Bhinderanwale Tiger Force of Khalistan (BTHK),Firearms,5,0,0,,0,
1989,4,19,India,Punjab,Kulian,31.787766,75.601895,1,1,Assassination,Private Citizens & Property,Sikh Extremists,Firearms,4,0,0,,0,
1989,4,20,India,Punjab,Amritsar District,31.633979,74.872264,3,1,Armed Assault,Private Citizens & Property,Sikh Extremists,Firearms,4,0,1,,0,
1989,4,20,India,Punjab,Gurdaspur,32.040763,75.401886,1,1,Hostage Taking (Kidnapping),Private Citizens & Property,Sikh Extremists,Firearms,5,0,0,,0,
1989,4,21,India,Assam,Kokrajhar,26.401436,90.266699,1,1,Armed Assault,Police,Bodo Militants,Firearms,7,4,1,,0,
1989,4,22,India,Assam,Kokrajhar,26.401436,90.266699,1,1,Bombing/Explosion,Police,Bodo Militants,Explosives,4,8,1,,0,
1989,4,25,India,Punjab,Amritsar,31.633078,74.878288,1,1,Assassination,Private Citizens & Property,Sikh Extremists,Firearms,5,0,0,,0,
1989,4,26,India,Jammu and Kashmir,Jammu,32.726602,74.857026,1,1,Armed Assault,Educational Institution,Sikh Extremists,Firearms,0,2,1,,0,
1989,5,1,India,Orissa,Dharamgarh,19.871715,82.775162,1,1,Assassination,Private Citizens & Property,Unknown,Firearms,1,0,0,,0,
1989,5,1,India,Assam,Unknown,26.200605,92.937574,4,1,Bombing/Explosion,Transportation,Bodo Militants,Explosives,0,0,1,,0,
1989,5,5,India,Punjab,Ludhiana,30.898024,75.860077,1,1,Assassination,Government (General),Unknown,Unknown,2,1,0,,0,
1989,5,6,India,Punjab,Firozpur,30.954424,74.612085,1,1,Assassination,Government (General),Unknown,Firearms,1,0,0,,0,
1989,5,6,India,Karnataka,Chitta,17.855889,77.514645,1,1,Assassination,Private Citizens & Property,Unknown,Firearms,3,0,0,,0,
1989,5,6,India,Punjab,Sohal,31.065739,75.410127,1,1,Armed Assault,Police,Khalistan Commando Force,Firearms,2,0,1,,0,
1989,5,6,India,Unknown,Bushertala,,,5,1,Armed Assault,Police,Khalistan Commando Force,Firearms,2,0,1,,0,
1989,5,9,India,Jammu and Kashmir,Srinagar,34.08374,74.789902,1,1,Bombing/Explosion,Transportation,Muslim Militants,Explosives,1,9,1,,0,
1989,5,9,India,West Bengal,Gangarampur,25.4,88.516667,1,1,Armed Assault,Transportation,Unknown,Firearms,3,3,1,,0,
1989,5,10,India,Unknown,Pulagahawella,,,5,1,Assassination,Educational Institution,Unknown,Firearms,2,0,0,,0,
1989,5,10,India,Unknown,Pulagahawella,,,5,1,Assassination,Educational Institution,Unknown,Firearms,2,0,0,,0,
1989,5,12,India,Jammu and Kashmir,Srinagar,34.08374,74.789902,1,1,Armed Assault,Tourists,Unknown,Firearms,0,5,1,,0,
1989,5,13,India,Rajasthan,Gothra,25.833611,75.599444,1,1,Assassination,Business,Unknown,Firearms,1,0,0,,0,
1989,5,13,India,Kerala,Varkala,8.733056,76.716667,1,1,Assassination,Religious Figures/Institutions,Unknown,Firearms,1,0,0,,0,
1989,5,14,India,Madhya Pradesh,Bhopal,23.255053,77.41433,1,1,Assassination,Violent Political Party,Unknown,Firearms,2,0,0,,0,
1989,5,18,India,Punjab,Nakodar,31.127019,75.481773,1,1,Armed Assault,Police,Unknown,Firearms,2,0,1,,0,
1989,5,18,India,Punjab,Amritsar District,31.633979,74.872264,3,1,Armed Assault,Police,Unknown,Firearms,2,0,1,,0,
1989,5,19,India,Orissa,Kendumundi,20.648333,83.096389,1,1,Armed Assault,Private Citizens & Property,Unknown,Firearms,8,15,0,,0,
1989,5,19,India,Punjab,Patiala,30.34,76.38,1,1,Assassination,Educational Institution,Unknown,Unknown,1,0,0,,0,
1989,5,20,India,Unknown,Chakania,,,5,1,Armed Assault,Violent Political Party,Unknown,Firearms,5,0,1,,0,
1989,5,23,India,Uttar Pradesh,Masapur,26.546432,81.269541,1,1,Assassination,Unknown,Unknown,Firearms,1,0,0,,0,
1989,5,23,India,Punjab,Chheharta,31.628179,74.799221,1,1,Assassination,Unknown,Unknown,Firearms,1,0,0,,0,
1989,5,23,India,Punjab,Amritsar,31.633078,74.878288,1,1,Assassination,Business,Unknown,Firearms,1,0,0,,0,
1989,5,23,India,Punjab,Balachaur,31.057879,76.300042,1,1,Armed Assault,Police,Unknown,Firearms,1,0,1,,0,
1989,5,23,India,Unknown,Mehanwana,,,5,1,Armed Assault,Police,Unknown,Firearms,5,0,1,,0,
1989,5,30,India,Unknown,Kler,,,5,1,Assassination,Private Citizens & Property,Khalistan Commando Force,Firearms,6,0,0,,0,
1989,5,30,India,Punjab,Amritsar,31.633078,74.878288,1,1,Assassination,Private Citizens & Property,Sikh Extremists,Firearms,2,1,0,,0,
1989,5,30,India,Punjab,Amritsar District,31.633979,74.872264,3,1,Armed Assault,Police,Sikh Extremists,Firearms,7,0,1,,0,
1989,5,30,India,Punjab,Kaler,30.821512,75.424276,1,1,Armed Assault,Private Citizens & Property,Unknown,Firearms,6,0,1,,0,
1989,6,1,India,Punjab,Amritsar,31.633078,74.878288,1,1,Assassination,Business,Sikh Extremists,Firearms,1,0,0,,0,
1989,6,1,India,Punjab,Mohali,30.679722,76.721944,1,1,Assassination,Journalists & Media,Sikh Extremists,Firearms,2,0,0,,0,
1989,6,4,India,Unknown,Samrawan,,,5,1,Armed Assault,Police,Unknown,Firearms,0,0,1,,0,
1989,6,6,India,Punjab,Unknown,31.147131,75.341218,4,1,Armed Assault,Transportation,Unknown,Firearms,3,0,1,,0,
1989,6,6,India,Punjab,Unknown,31.147131,75.341218,4,1,Hijacking,Transportation,Unknown,Firearms,2,2,0,,0,
1989,6,10,India,Unknown,Sudhpora,,,5,1,Bombing/Explosion,Police,Unknown,Explosives,5,4,1,,0,
1989,6,12,India,Delhi,New Delhi,28.585836,77.153336,1,1,Bombing/Explosion,Transportation,Sikh Extremists,Explosives,5,44,1,,0,
1989,6,17,India,Punjab,ludhiana,30.898024,75.860077,1,1,Bombing/Explosion,Government (General),Unknown,Explosives,1,7,1,,0,
1989,6,17,India,Punjab,ludhiana,30.898024,75.860077,1,1,Bombing/Explosion,Transportation,Unknown,Explosives,0,0,1,,0,
1989,6,17,India,Punjab,Amritsar District,31.633979,74.872264,3,1,Armed Assault,Police,Sikh Extremists,Firearms,7,0,1,,0,
1989,6,20,India,Assam,Unknown,26.200605,92.937574,4,1,Bombing/Explosion,Transportation,Bodo Militants,Explosives,7,14,1,,0,
1989,6,21,India,Punjab,Unknown,31.147131,75.341218,4,1,Assassination,Military,Sikh Extremists,Firearms,1,0,0,,0,
1989,6,21,India,Punjab,Amritsar district,31.633979,74.872264,3,1,Assassination,Business,Sikh Extremists,Firearms,1,0,0,,0,
1989,6,21,India,Punjab,Amritsar district,31.633979,74.872264,3,1,Assassination,Religious Figures/Institutions,Sikh Extremists,Firearms,1,0,0,,0,
1989,6,21,India,Unknown,Mirakut,,,5,1,Armed Assault,Police,Sikh Extremists,Firearms,1,0,1,,0,
1989,6,25,India,Punjab,Moga,30.81646,75.171709,1,1,Armed Assault,Government (General),Khalistan Commando Force,Firearms,27,22,1,,0,
1989,6,26,India,Assam,Barpeta,26.329008,91.005433,1,1,Bombing/Explosion,Transportation,Bodo Militants,Explosives,0,0,1,,0,
1989,6,27,India,Jammu and Kashmir,Choon,33.9866,74.731512,1,1,Assassination,Business,Unknown,Firearms,1,0,0,,0,
1989,6,27,India,Assam,runikhata,26.63419,90.381898,1,1,Bombing/Explosion,Police,Bodo Militants,Explosives,10,0,1,,0,
1989,6,28,India,Punjab,ludhiana,30.898024,75.860077,1,1,Bombing/Explosion,Transportation,Sikh Extremists,Explosives,0,0,1,,0,
1989,6,28,India,Punjab,ludhiana,30.898024,75.860077,1,1,Bombing/Explosion,Transportation,Unknown,Explosives,0,6,1,,0,
1989,6,28,India,Bihar,Darbhanga,26.114171,85.902,1,1,Armed Assault,Police,Unknown,Firearms,2,1,1,,0,
1989,6,29,India,Chhattisgarh,Raipur,21.251384,81.629641,1,1,Assassination,Private Citizens & Property,Unknown,Firearms,2,0,0,,0,
1989,6,29,India,Assam,Gossaigaon,26.439159,89.978278,1,1,Bombing/Explosion,Private Citizens & Property,Bodo Militants,Explosives,6,0,1,,0,
1989,6,29,India,Punjab,Amritsar District,31.633979,74.872264,3,1,Hijacking,Transportation,Unknown,Firearms,0,0,1,30000,0,
1989,7,7,India,Punjab,Amritsar,31.633078,74.878288,1,1,Armed Assault,Police,Sikh Extremists,Firearms,1,0,1,,0,
1989,7,9,India,Punjab,Jalandhar,31.326015,75.576183,1,1,Assassination,Private Citizens & Property,Unknown,Firearms,1,0,0,,0,
1989,7,9,India,Punjab,Unknown,31.147131,75.341218,4,1,Armed Assault,Police,Unknown,Firearms,2,4,1,,0,
1989,7,9,India,Jharkhand,Guragaon,22.485828,85.191995,1,1,Armed Assault,Police,Sikh Extremists,Firearms,1,0,1,,0,
1989,7,11,India,Assam,kokrajhar district,26.401436,90.266699,3,1,Bombing/Explosion,Police,Bodo Militants,Explosives,3,4,1,10000,0,
1989,7,12,India,Jammu and Kashmir,srinagar,34.08374,74.789902,1,1,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives,0,6,1,,0,
1989,7,13,India,Jammu and Kashmir,Srinagar,34.08374,74.789902,1,1,Armed Assault,Private Citizens & Property,Muslim Separatists,Firearms,4,7,1,,0,
1989,7,17,India,Punjab,ludhiana,30.898024,75.860077,1,1,Bombing/Explosion,Business,Unknown,Explosives,0,10,1,,0,
1989,7,17,India,Jammu and Kashmir,Srinagar,34.08374,74.789902,1,1,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives,0,0,1,15000,0,
1989,7,21,India,Jharkhand,Loka,24.351944,83.735,1,1,Assassination,Private Citizens & Property,Unknown,Firearms,2,0,0,,0,
1989,7,21,India,Uttaranchal,Pahki,30.46216,79.445424,1,1,Assassination,Private Citizens & Property,Unknown,Firearms,5,0,0,,0,
1989,7,21,India,Jammu and Kashmir,srinagar,34.08374,74.789902,1,1,Bombing/Explosion,Tourists,Unknown,Explosives,0,0,1,,0,
1989,7,21,India,Punjab,Kang Araiyan,31.062882,75.73933,1,1,Armed Assault,Private Citizens & Property,Unknown,Firearms,1,0,1,,0,
1989,7,30,India,Jammu and Kashmir,Bardum,34.533333,76.309722,2,1,Armed Assault,Police,Bodo Militants,Firearms,4,0,1,,0,
1989,7,30,India,Karnataka,Dakshin Kanengdesha,12.84,75.29,2,1,Armed Assault,Police,Bodo Militants,Firearms,2,0,1,,0,
1989,8,8,India,Punjab,Amritsar,31.633078,74.878288,1,1,Assassination,Violent Political Party,Sikh Extremists,Firearms,1,0,0,,0,
1989,8,8,India,Punjab,Hargobindpur,31.6894,75.4797,1,1,Assassination,Police,Sikh Extremists,Firearms,1,0,0,,0,
1989,8,8,India,Punjab,Jandiala district,31.560363,75.028988,3,1,Armed Assault,Police,Sikh Extremists,Firearms,1,0,1,,0,
1989,8,8,India,Punjab,Hargobindpur,31.6894,75.4797,1,1,Armed Assault,Private Citizens & Property,Sikh Extremists,Firearms,1,0,1,,0,
1989,8,8,India,Jammu and Kashmir,Jammu,32.726602,74.857026,1,1,Armed Assault,Private Citizens & Property,Sikh Extremists,Firearms,6,8,1,,0,
1989,8,9,India,Haryana,Yamunanagar,30.129048,77.26739,1,1,Assassination,Private Citizens & Property,Sikh Extremists,Unknown,1,0,0,,0,
1989,8,9,India,Unknown,Singhbitia,,,5,1,Assassination,Government (General),Bodo Militants,Firearms,1,0,0,,0,
1989,8,9,India,Haryana,Karnal,29.685693,76.990483,1,1,Bombing/Explosion,Transportation,Sikh Extremists,Explosives,13,45,1,,0,
1989,8,9,India,Rajasthan,Gujarpur,27.599444,76.8625,1,1,Unknown,Police,Sikh Extremists,Unknown,2,0,1,,0,
1989,8,11,India,Punjab,Patiala,30.34,76.38,1,1,Assassination,Government (General),Sikh Extremists,Firearms,2,0,0,,0,
1989,8,11,India,Punjab,Amritsar,31.633078,74.878288,1,1,Assassination,Private Citizens & Property,Sikh Extremists,Firearms,1,0,0,,0,
1989,8,11,India,Assam,Udalguri,26.746018,92.095943,1,1,Bombing/Explosion,Police,Unknown,Explosives,8,4,1,10000,0,
1989,8,12,India,Punjab,Firozpur district,30.954424,74.612085,3,1,Assassination,Violent Political Party,Unknown,Firearms,1,0,0,,0,
1989,8,12,India,Madhya Pradesh,Vijaypura,26.053829,77.36905,1,1,Unknown,Police,Sikh Extremists,Unknown,4,0,1,,0,
1989,8,12,India,Assam,Unknown,26.200605,92.937574,4,1,Bombing/Explosion,Police,Bodo Militants,Explosives,11,0,1,,0,
1989,8,12,India,Punjab,Amritsar,31.633078,74.878288,1,1,Armed Assault,Military,Unknown,Firearms,2,0,1,,0,
1989,8,14,India,Unknown,Obuke,,,5,1,Armed Assault,Police,Unknown,Firearms,1,0,1,,0,
1989,8,14,India,Maharashtra,Kohali,21.26707,78.809239,1,1,Armed Assault,Police,Unknown,Firearms,4,0,1,,0,
1989,8,15,India,Jammu and Kashmir,Srinagar,34.08374,74.789902,1,1,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives,0,27,1,,0,
1989,8,15,India,Jammu and Kashmir,Srinagar,34.08374,74.789902,1,1,Assassination,Private Citizens & Property,Unknown,Explosives,0,0,1,,0,
1989,8,15,India,Jammu and Kashmir,Srinagar,34.08374,74.789902,1,1,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives,0,25,1,,0,
1989,8,16,India,Jammu and Kashmir,Srinagar,34.08374,74.789902,1,1,Facility/Infrastructure Attack,Business,Unknown,Incendiary,0,0,1,,0,
1989,8,16,India,Jammu and Kashmir,Anantnag,33.732216,75.157913,1,1,Bombing/Explosion,Police,Unknown,Explosives,0,7,1,,0,
1989,8,16,India,Andhra Pradesh,Mahbubnagar district,16.741699,77.9859,3,1,Hostage Taking (Kidnapping),Government (General),People's War Group (PWG),Firearms,0,0,0,,0,
1989,8,17,India,Andhra Pradesh,Kuripeta,18.324444,83.436667,1,1,Assassination,Government (General),Bodo Militants,Firearms,1,0,0,,0,
1989,8,17,India,Punjab,Patiala,30.34,76.38,1,1,Assassination,Police,Unknown,Firearms,2,0,0,,0,
1989,8,17,India,Jammu and Kashmir,kangan,34.264018,74.901055,1,1,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives,0,0,1,,0,
1989,8,17,India,Jammu and Kashmir,Srinagar,34.08374,74.789902,1,1,Bombing/Explosion,Religious Figures/Institutions,Unknown,Explosives,0,0,1,,0,
1989,8,17,India,Jammu and Kashmir,Srinagar,34.08374,74.789902,1,1,Bombing/Explosion,Transportation,Muslim Militants,Explosives,0,0,1,30000,0,
1989,8,17,India,Assam,guwahati,26.149794,91.763931,1,1,Bombing/Explosion,Business,Unknown,Explosives,0,1,1,,0,
1989,8,17,India,Jammu and Kashmir,Srinagar,34.08374,74.789902,1,1,Armed Assault,Police,Muslim Militants,Firearms,0,2,1,,0,
1989,8,17,India,Jammu and Kashmir,Srinagar,34.08374,74.789902,1,1,Hijacking,Transportation,Muslim Militants,Explosives,0,0,1,30000,0,
1989,8,18,India,Himachal Pradesh,chintpurani,31.805438,76.104439,1,1,Bombing/Explosion,Transportation,Sikh Extremists,Explosives,16,20,1,,0,
1989,8,18,India,Punjab,Amritsar District,31.633979,74.872264,3,1,Armed Assault,Police,Unknown,Firearms,4,0,1,,0,
1989,8,19,India,Unknown,Dusibandh,,,5,1,Armed Assault,Police,Unknown,Firearms,3,0,1,,0,
1989,8,20,India,Punjab,Badhni Kalan,30.678437,75.291653,1,1,Assassination,Private Citizens & Property,Unknown,Firearms,10,0,0,,0,
1989,8,21,India,Jammu and Kashmir,Srinagar,34.08374,74.789902,1,1,Assassination,Government (General),Unknown,Firearms,0,0,0,,0,
1989,8,28,India,Punjab,Unknown,31.147131,75.341218,4,1,Armed Assault,Transportation,Khalistan Commando Force,Firearms,23,30,1,,0,
1989,8,28,India,Punjab,Amritsar,31.633078,74.878288,1,1,Bombing/Explosion,Transportation,Sikh Extremists,Explosives,0,0,1,,0,
1989,8,29,India,Assam,Barpeta,26.336108,91.01793,1,1,Bombing/Explosion,Transportation,Unknown,Explosives,6,0,1,,0,
1989,8,29,India,Punjab,Kabarwala,30.193752,74.409326,1,1,Armed Assault,Transportation,Sikh Extremists,Firearms,20,30,1,,0,
1989,8,29,India,Odisha,Barbil,22.10534,85.378964,1,1,Bombing/Explosion,Transportation,Bodo Militants,Explosives,9,0,1,,0,
1989,9,1,India,Andhra Pradesh,Jagtial,18.789792,78.914857,1,1,Bombing/Explosion,Private Citizens & Property,Naxalites,Explosives,10,7,1,,0,
1989,9,8,India,Assam,Jamuguri,26.307143,92.613965,1,1,Bombing/Explosion,Police,Bodo Militants,Explosives,0,2,1,,0,
1989,9,8,India,Punjab,Sharinwala,30.68059,74.463553,1,1,Armed Assault,Police,Sikh Extremists,Firearms,8,0,1,,0,
1989,9,9,India,Unknown,Bokhajhuli,,,5,1,Armed Assault,Private Citizens & Property,Bodo Militants,Firearms,7,22,1,,0,
1989,9,10,India,Unknown,Gorkajuli,,,5,1,Armed Assault,Private Citizens & Property,Bodo Militants,Melee,29,0,1,,0,
1989,9,11,India,Unknown,Nabuke,,,5,1,Assassination,Private Citizens & Property,Unknown,Firearms,3,3,0,,0,
1989,9,11,India,Unknown,Golgoddam,,,5,1,Armed Assault,Police,People's War Group (PWG),Firearms,2,0,1,,0,
1989,9,11,India,Madhya Pradesh,Jhalewara,21.745556,80.006389,1,1,Armed Assault,Military,Unknown,Firearms,0,0,1,,0,
1989,9,12,India,Uttar Pradesh,Dhareli,28.078705,79.411307,1,1,Armed Assault,Police,Unknown,Firearms,5,0,1,,0,
1989,9,14,India,Jammu and Kashmir,Srinagar,34.08374,74.789902,1,1,Assassination,Violent Political Party,Unknown,Firearms,1,0,0,,0,
1989,9,15,India,Orissa,Burla,21.488796,83.884407,1,1,Assassination,Private Citizens & Property,Unknown,Firearms,2,0,0,,0,
1989,9,15,India,Bihar,Mohammadpur,26.618154,85.186131,1,1,Assassination,Private Citizens & Property,Unknown,Firearms,1,0,0,,0,
1989,9,15,India,Rajasthan,Rasulpur,28.095366,74.984953,1,1,Assassination,Private Citizens & Property,Sikh Extremists,Firearms,7,0,0,,0,
1989,9,15,India,Punjab,Jalandhar,31.326015,75.576183,1,1,Armed Assault,Police,Sikh Extremists,Firearms,2,0,1,,0,
1989,9,15,India,Punjab,Makhu,31.107153,74.976402,1,1,Armed Assault,Police,Unknown,Firearms,2,0,1,,0,
1989,9,16,India,Haryana,Chang,28.881667,76.242778,1,1,Assassination,Police,Unknown,Firearms,2,0,0,,0,
1989,9,16,India,Punjab,Tarn Taran,31.448943,74.925262,1,1,Hostage Taking (Kidnapping),Police,Unknown,Firearms,0,0,0,,0,
1989,9,18,India,Unknown,Khangnadesian,,,5,1,Assassination,Violent Political Party,Unknown,Firearms,1,0,0,,0,
1989,9,18,India,Jammu and Kashmir,Srinagar,34.08374,74.789902,1,1,Bombing/Explosion,Police,Jammu and Kashmir Liberation Front,Explosives,0,9,1,,0,
1989,9,23,India,Punjab,Sardulgarh,29.694945,75.235217,1,1,Armed Assault,Police,Unknown,Firearms,2,0,1,,0,
1989,9,24,India,Maharashtra,Ujani,18.11641,76.309557,1,1,Bombing/Explosion,Airports & Aircraft,Unknown,Explosives,11,0,1,,0,
1989,9,29,India,Punjab,Jalandhar district,31.326015,75.576183,3,1,Armed Assault,Police,Unknown,Firearms,4,1,1,,0,
1989,9,30,India,Madhya Pradesh,khargone,21.826036,75.617808,1,1,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives,1,0,1,,0,
1989,9,30,India,Madhya Pradesh,Khargone,21.826036,75.617808,1,1,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives,2,18,1,,0,
1989,10,2,India,Unknown,Kotta Gol Shah,,,5,1,Bombing/Explosion,Police,Unknown,Explosives,2,8,1,10000,0,
1989,10,4,India,Punjab,Amritsar district,31.633979,74.872264,3,1,Assassination,Private Citizens & Property,Unknown,Firearms,1,2,0,,0,
1989,10,4,India,Delhi,Delhi,28.690073,77.213982,1,1,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives,4,0,1,,0,
1989,10,4,India,Punjab,Firozpur district,30.954424,74.612085,3,1,Armed Assault,Police,Unknown,Firearms,2,4,1,,0,
1989,10,4,India,Punjab,Amritsar District,31.633979,74.872264,3,1,Armed Assault,Police,Unknown,Firearms,1,1,1,,0,
1989,10,5,India,Punjab,Amritsar,31.633078,74.878288,1,1,Assassination,Private Citizens & Property,Unknown,Firearms,5,0,0,,0,
1989,10,5,India,Rajasthan,Rasulpur,28.095366,74.984953,1,1,Bombing/Explosion,Military,Unknown,Explosives,0,2,1,,0,
1989,10,7,India,Assam,Nalbari District,26.444619,91.441053,3,1,Armed Assault,Private Citizens & Property,Bodo Militants,Firearms,4,0,1,,0,
1989,10,8,India,Assam,Nalbari,26.444619,91.441053,1,1,Armed Assault,Private Citizens & Property,Bodo Militants,Firearms,2,6,1,,0,
1989,10,8,India,Unknown,Mahisabari,,,5,1,Armed Assault,Government (General),Bodo Militants,Firearms,0,0,1,,0,
1989,10,8,India,Assam,Bhuragaon,26.404244,92.234122,1,1,Armed Assault,Private Citizens & Property,Bodo Militants,Firearms,9,0,1,,0,
1989,10,10,India,Assam,nalbari district,26.444619,91.441053,3,1,Bombing/Explosion,Police,Unknown,Explosives,10,0,1,30000,0,
